timestamp, since_start, heart_rate 

1677827697843,0,62
1677827698832,989,62
1677827699863,2020,61
1677827700867,3024,60
1677827701815,3972,60
1677827703041,5198,59
1677827704547,6704,58
1677827705066,7223,57
1677827706010,8167,56
1677827706990,9147,56
1677827708005,10162,56
1677827708996,11153,56
1677827709998,12155,56
1677827710958,13115,56
1677827712462,14619,56
1677827712955,15112,56
1677827713920,16077,56
1677827714942,17099,56
1677827715929,18086,56
1677827716917,19074,56
1677827717909,20066,55
1677827718920,21077,55
1677827719860,22017,55
1677827720893,23050,55
1677827721855,24012,54
1677827722856,25013,53
1677827723820,25977,53
1677827724839,26996,53
1677827725831,27988,52
1677827726819,28976,52
1677827728300,30457,51
1677827729290,31447,51
1677827730276,32433,51
1677827731245,33402,51
1677827732260,34417,51
1677827733250,35407,51
1677827734244,36401,51
1677827735205,37362,51
1677827736225,38382,51
1677827737198,39355,50
1677827738200,40357,50
1677827739190,41347,50
1677827740179,42336,50
1677827741144,43301,50
1677827742181,44338,50
1677827743150,45307,50
1677827744149,46306,50
1677827745131,47288,49
1677827746095,48252,49
1677827747112,49269,49
1677827748112,50269,49
1677827749081,51238,49
1677827750055,52212,49
1677827751072,53229,49
1677827752063,54220,49
1677827753055,55212,49
1677827754042,56199,48
1677827755032,57189,48
1677827755995,58152,48
1677827757013,59170,48
1677827758008,60165,48
1677827758992,61149,49
1677827759996,62153,49
1677827760945,63102,49
1677827761963,64120,49
1677827762955,65112,48
1677827763946,66103,48
1677827764938,67095,48
1677827765895,68052,48
1677827766922,69079,48
1677827767901,70058,48
1677827768893,71050,48
1677827769854,72011,48
1677827770871,73028,49
1677827771861,74018,49
1677827772851,75008,48
1677827773821,75978,48
1677827774804,76961,48
1677827775821,77978,48
1677827777306,79463,48
1677827778303,80460,48
1677827779259,81416,48
1677827780282,82439,48
1677827781273,83430,47
1677827782255,84412,47
1677827783218,85375,47
1677827785233,87390,47
1677827785279,87436,47
1677827786221,88378,47
1677827787179,89336,47
1677827788195,90352,47
1677827789197,91354,47
1677827790167,92324,47
1677827791139,93296,47
1677827792160,94317,46
1677827793147,95304,46
1677827794142,96299,46
1677827795129,97286,46
1677827796089,98246,46
1677827798108,100265,46
1677827798151,100308,46
1677827799089,101246,47
1677827800078,102235,47
1677827801039,103196,47
1677827802056,104213,47
1677827803043,105200,47
1677827804034,106191,46
1677827804999,107156,46
1677827806016,108173,46
1677827807004,109161,46
1677827807996,110153,47
1677827808983,111140,47
1677827810940,113097,47
1677827810979,113136,47
1677827811957,114114,47
1677827812949,115106,47
1677827813909,116066,47
1677827814926,117083,47
1677827815917,118074,47
1677827816908,119065,46
1677827817869,120026,46
1677827818885,121042,46
1677827819877,122034,46
1677827820863,123020,46
1677827821853,124010,47
1677827822819,124976,47
1677827823840,125997,47
1677827824832,126989,47
1677827825816,127973,47
1677827827274,129431,47
1677827828295,130452,46
1677827829286,131443,46
1677827830271,132428,46
1677827831259,133416,46
1677827832224,134381,46
1677827834231,136388,46
1677827834281,136438,47
1677827835222,137379,47
1677827836184,138341,47
1677827837203,139360,47
1677827838190,140347,47
1677827839179,141336,47
1677827840169,142326,46
1677827841159,143316,46
1677827842149,144306,47
1677827843114,145271,47
1677827844133,146290,47
1677827845119,147276,48
1677827846108,148265,49
1677827847102,149259,49
1677827848558,150715,49
1677827849080,151237,49
1677827850070,152227,49
1677827851064,153221,49
1677827852023,154180,49
1677827853040,155197,48
1677827854031,156188,48
1677827855022,157179,48
1677827856015,158172,48
1677827856973,159130,48
1677827857991,160148,48
1677827858979,161136,48
1677827859980,162137,48
1677827860958,163115,48
1677827861966,164123,48
1677827862939,165096,49
1677827863940,166097,49
1677827864922,167079,50
1677827865909,168066,51
1677827866921,169078,54
1677827867882,170039,55
1677827868883,171040,56
1677827869863,172020,57
1677827870861,173018,58
1677827871856,174013,61
1677827872844,175001,62
1677827873821,175978,64
1677827874842,176999,67
1677827876309,178466,68
1677827877297,179454,69
1677827878301,180458,71
1677827879272,181429,71
1677827880261,182418,72
1677827881259,183416,73
1677827882239,184396,73
1677827883236,185393,73
1677827884197,186354,73
1677827885188,187345,73
1677827886176,188333,72
1677827887168,189325,68
1677827888183,190340,66
1677827889175,191332,65
1677827890171,192328,64
1677827891154,193311,63
1677827892147,194304,63
1677827893121,195278,63
1677827894123,196280,62
1677827895116,197273,62
1677827896124,198281,62
1677827897094,199251,61
1677827898091,200248,61
1677827899079,201236,62
1677827900063,202220,62
1677827901053,203210,63
1677827902046,204203,64
1677827903042,205199,64
1677827904024,206181,65
1677827905015,207172,64
1677827906006,208163,63
1677827907001,209158,62
1677827907984,210141,62
1677827908979,211136,61
1677827909962,212119,61
1677827910977,213134,62
1677827911949,214106,63
1677827912934,215091,64
1677827913927,216084,65
1677827914922,217079,65
1677827915900,218057,65
1677827916894,219051,64
1677827917885,220042,64
1677827918872,221029,63
1677827919869,222026,64
1677827920877,223034,65
1677827921844,224001,65
1677827922835,224992,66
1677827923821,225978,67
1677827924812,226969,68
1677827926300,228457,68
1677827927290,229447,68
1677827928277,230434,67
1677827929269,231426,66
1677827930259,232416,65
1677827931249,233406,65
1677827932263,234420,65
1677827933231,235388,65
1677827934219,236376,66
1677827935210,237367,67
1677827936202,238359,68
