timestamp, since_start, heart_rate 

1676014431229,0,52
1676014432246,1017,52
1676014433265,2036,52
1676014434256,3027,52
1676014435240,4011,51
1676014436216,4987,51
1676014437253,6024,51
1676014438281,7052,51
1676014439220,7991,51
1676014440243,9014,51
1676014441282,10053,51
1676014442267,11038,51
1676014443234,12005,52
1676014444282,13053,53
1676014445471,14242,53
1676014446451,15222,54
1676014447439,16210,56
1676014448407,17178,57
1676014449418,18189,58
1676014450431,19202,59
1676014451400,20171,59
1676014452380,21151,58
1676014453372,22143,58
1676014454339,23110,58
1676014455359,24130,58
1676014456351,25122,58
1676014457309,26080,59
1676014458300,27071,58
1676014459289,28060,58
1676014460279,29050,58
1676014461302,30073,57
1676014462290,31061,56
1676014463249,32020,56
1676014464280,33051,55
1676014465282,34053,54
1676014466266,35037,53
1676014467209,35980,53
1676014468728,37499,52
1676014469710,38481,52
1676014470706,39477,51
1676014471694,40465,50
1676014472654,41425,50
1676014473678,42449,50
1676014474672,43443,50
1676014475657,44428,49
1676014476616,45387,49
1676014477637,46408,49
1676014478622,47393,49
1676014479610,48381,49
1676014480604,49375,48
1676014481566,50337,48
1676014482589,51360,48
1676014483565,52336,48
1676014484565,53336,48
1676014485554,54325,48
1676014486514,55285,48
1676014487525,56296,48
1676014488511,57282,48
1676014489517,58288,48
1676014490474,59245,48
1676014491497,60268,47
1676014492489,61260,47
1676014494475,63246,47
1676014494501,63272,47
1676014495454,64225,48
1676014496526,65297,48
1676014497440,66211,47
1676014498413,67184,47
1676014499384,68155,47
1676014500406,69177,47
1676014501392,70163,47
1676014502389,71160,47
1676014503344,72115,47
1676014504363,73134,47
1676014505355,74126,47
1676014506343,75114,47
1676014507304,76075,47
1676014508323,77094,47
1676014509313,78084,47
1676014510303,79074,46
1676014511294,80065,46
1676014512290,81061,47
1676014513244,82015,47
1676014514263,83034,47
1676014515256,84027,47
1676014516213,84984,47
1676014517731,86502,47
1676014518720,87491,47
1676014519710,88481,47
1676014520710,89481,47
1676014521658,90429,47
1676014522682,91453,46
1676014523650,92421,46
1676014524666,93437,47
1676014525651,94422,47
1676014526609,95380,47
1676014527630,96401,47
1676014528623,97394,47
1676014529610,98381,47
1676014530568,99339,47
1676014531589,100360,47
1676014532576,101347,47
1676014533552,102323,46
1676014534561,103332,46
1676014535518,104289,46
1676014536546,105317,46
1676014537535,106306,47
1676014538510,107281,47
1676014539478,108249,47
1676014541493,110264,47
1676014541532,110303,47
1676014542483,111254,47
1676014544466,113237,47
1676014544483,113254,47
1676014545448,114219,47
1676014546442,115213,47
1676014547412,116183,47
1676014548429,117200,47
1676014549378,118149,47
1676014550403,119174,47
1676014551394,120165,47
1676014552364,121135,47
1676014553338,122109,47
1676014554361,123132,47
1676014555349,124120,47
1676014556335,125106,47
1676014557333,126104,47
1676014558288,127059,47
1676014559315,128086,47
1676014560300,129071,47
1676014561291,130062,47
1676014562248,131019,47
1676014563270,132041,47
1676014564261,133032,47
1676014565250,134021,47
1676014567198,135969,47
1676014567721,136492,47
1676014568715,137486,46
1676014569703,138474,46
1676014570663,139434,46
1676014571687,140458,46
1676014572680,141451,46
1676014573653,142424,46
1676014574654,143425,46
1676014575613,144384,46
1676014576633,145404,46
1676014577609,146380,46
1676014578581,147352,46
1676014579601,148372,46
1676014580599,149370,46
1676014581582,150353,46
1676014582540,151311,46
1676014583571,152342,46
1676014584549,153320,45
1676014585541,154312,45
1676014586535,155306,45
1676014587531,156302,46
1676014588507,157278,46
1676014589502,158273,47
1676014590461,159232,47
1676014591979,160750,48
1676014592443,161214,50
1676014594421,163192,51
1676014594465,163236,51
1676014595428,164199,52
1676014596418,165189,54
1676014597423,166194,54
1676014598458,167229,56
1676014599406,168177,58
1676014600385,169156,60
1676014601417,170188,64
1676014602378,171149,66
1676014603366,172137,68
1676014604356,173127,71
1676014605340,174111,72
1676014606319,175090,72
1676014607309,176080,72
1676014608833,177604,73
1676014609299,178070,73
1676014610290,179061,73
1676014611268,180039,73
1676014612271,181042,73
1676014613263,182034,73
1676014614255,183026,73
1676014615241,184012,72
1676014616233,185004,69
1676014617704,186475,67
1676014618719,187490,66
1676014619682,188453,65
1676014620687,189458,64
1676014621683,190454,64
1676014622667,191438,64
1676014623654,192425,64
1676014624671,193442,66
1676014625607,194378,66
1676014626628,195399,67
1676014627617,196388,67
1676014628590,197361,67
1676014629596,198367,66
1676014630588,199359,65
1676014631610,200381,63
1676014632568,201339,63
1676014633559,202330,63
1676014634550,203321,64
1676014635537,204308,65
1676014636525,205296,65
1676014637523,206294,66
1676014638497,207268,67
1676014639498,208269,67
1676014640483,209254,66
1676014642475,211246,65
1676014642510,211281,64
1676014644474,213245,63
1676014644527,213298,64
1676014645447,214218,64
1676014646456,215227,66
1676014647421,216192,68
1676014648418,217189,69
1676014649399,218170,70
1676014650387,219158,71
1676014651377,220148,71
1676014652358,221129,69
1676014653367,222138,68
1676014654348,223119,67
1676014655334,224105,66
1676014656326,225097,66
1676014657331,226102,66
1676014658306,227077,67
1676014659297,228068,68
1676014660286,229057,69
1676014661285,230056,70
1676014662267,231038,70
1676014663257,232028,70
1676014664231,233002,70
1676014665239,234010,69
1676014666750,235521,67
1676014667711,236482,67
1676014668700,237471,67
1676014669693,238464,67
1676014670705,239476,68
1676014671670,240441,69
1676014672666,241437,70
1676014673650,242421,71
1676014674640,243411,71
1676014675633,244404,71
1676014676625,245396,71
1676014677613,246384,69
1676014678605,247376,68
1676014679592,248363,67
1676014680612,249383,66
1676014681572,250343,67
1676014682575,251346,67
1676014683551,252322,68
1676014684544,253315,69
1676014685535,254306,70
1676014686523,255294,71
1676014687511,256282,71
1676014688489,257260,70
1676014689520,258291,68
1676014690481,259252,67
1676014691472,260243,67
1676014693452,262223,67
1676014693521,262292,68
1676014694446,263217,69
1676014695431,264202,70
1676014696422,265193,70
1676014697413,266184,71
1676014698414,267185,71
1676014699394,268165,70
1676014700382,269153,69
1676014701372,270143,67
1676014702349,271120,66
1676014703354,272125,66
1676014704347,273118,66
1676014705360,274131,67
1676014706323,275094,67
1676014707322,276093,68
1676014708304,277075,68
1676014709294,278065,69
1676014710283,279054,69
1676014711272,280043,68
1676014712262,281033,67
1676014713295,282066,66
1676014714237,283008,67
1676014715233,284004,67
1676014716711,285482,68
1676014717717,286488,70
1676014718699,287470,70
1676014719685,288456,71
1676014720674,289445,71
1676014721667,290438,71
1676014722655,291426,70
1676014723630,292401,68
1676014724640,293411,68
1676014725654,294425,68
1676014726622,295393,68
1676014727600,296371,69
1676014728607,297378,70
1676014729586,298357,71
1676014730583,299354,71
1676014731563,300334,72
1676014732563,301334,72
1676014733529,302300,71
1676014734535,303306,70
1676014735550,304321,68
1676014736517,305288,67
1676014737552,306323,67
1676014738499,307270,68
1676014739476,308247,69
1676014740478,309249,70
1676014741477,310248,70
1676014743448,312219,70
1676014743497,312268,70
1676014745430,314201,70
1676014745465,314236,69
1676014746415,315186,68
1676014747434,316205,68
1676014748398,317169,68
1676014749395,318166,69
1676014750395,319166,71
1676014751362,320133,72
1676014752342,321113,72
1676014753344,322115,73
1676014754333,323104,73
1676014755323,324094,73
1676014756314,325085,72
1676014757319,326090,71
1676014758298,327069,70
1676014759319,328090,69
1676014760772,329543,69
1676014761272,330043,69
1676014762248,331019,70
1676014763279,332050,71
1676014764221,332992,71
1676014765723,334494,72
1676014766704,335475,71
1676014767699,336470,71
1676014769179,337950,70
1676014769659,338430,69
1676014770675,339446,68
1676014771667,340438,68
1676014772631,341402,69
1676014773627,342398,69
