index, timestamp, HR, AVNN, SDNN, rMSSD, pNN50, LF, HF, LFHF, alpha_1, artifacts_removed 

0,1676153261298,75.75757575757575,792.0,67.96212180325155,29.93721500248918,7.6923076923076925,0.07584139610119806,0.03378686999761007,2.2447002668954754,1.3797552413384155,0.0
1,1676153291456,69.69103640526997,860.9428571428572,46.44686233114314,32.577646174992914,8.823529411764707,0.012258406133240304,0.03493323673788216,0.3509095428293678,0.7183582903921976,0.0
2,1676153321177,67.19810264180776,892.8823529411765,39.521970588136796,35.19321667594481,18.181818181818183,0.022486934978188478,0.0388752480588855,0.5784383663385722,1.3716906396130395,0.0
3,1676153351376,68.4357073367104,876.7352941176471,46.13044727823442,37.18828780678132,18.181818181818183,0.0274966476527245,0.05503390018108974,0.49963109214950124,1.017175075588134,0.0
4,1676153381044,73.98520295940811,810.972972972973,72.78382894590183,31.31088354823972,8.333333333333332,0.08352979100157526,0.0341137550339082,2.448566301732213,1.7101856131910034,0.0
5,1676153411260,79.94137632402905,750.55,89.71592667971501,45.14304749174678,17.94871794871795,0.14400127418330677,0.08241941578953525,1.7471765942994046,1.3137585093446598,0.0
6,1676153441476,79.18701332981391,757.7,42.58239072668419,23.76363874316788,2.564102564102564,0.036847543985856775,0.03929860401662537,0.9376298448226897,1.4436829310929533,0.0
7,1676153471173,82.03828453278196,731.3658536585366,27.803979446326654,14.21717992881166,0.0,0.042090302791675006,0.023369422738250923,1.8010844026019464,1.7050646716318627,0.0
8,1676153501351,82.00820082008201,731.6341463414634,30.46289714259049,12.773168994178624,0.0,0.0486410174902162,0.02498985352504588,1.9464306760128118,1.756389551394649,0.0
9,1676153531051,82.32656202938323,728.8048780487804,15.015795767993897,8.19161547575105,0.0,0.016060506096282588,0.013992894610943968,1.1477615277486277,1.796971305116609,0.0
