timestamp, rr, since_start 

1675889367255,894,34096
1675889367305,930,35026
1675889368243,891,35917
1675889368266,895,36812
1675889369234,908,37720
1675889370225,880,38600
1675889371215,870,39470
1675889372203,915,40385
1675889373193,904,41289
1675889374185,842,42131
1675889374218,847,42978
1675889375175,795,43773
1675889376165,764,44537
1675889377155,758,45295
1675889378143,777,46072
1675889379133,880,46952
1675889379163,946,47898
1675889380125,908,48806
1675889381113,862,49668
1675889382105,858,50526
1675889383093,830,51356
1675889384087,820,52176
1675889385073,847,53023
1675889386065,861,53884
1675889386099,878,54762
1675889387054,908,55670
1675889388045,901,56571
1675889389033,849,57420
1675889390025,827,58247
1675889391013,795,59042
1675889391029,801,59843
1675889392005,840,60683
1675889392993,906,61589
1675889393984,952,62541
1675889394973,926,63467
1675889395965,917,64384
1675889396958,899,65283
1675889397945,910,66193
1675889398935,946,67139
1675889399924,966,68105
1675889400913,928,69033
1675889401905,904,69937
1675889402892,902,70839
1675889403885,945,71784
1675889404875,989,72773
1675889404909,958,73731
1675889405865,916,74647
1675889406854,894,75541
1675889407844,893,76434
1675889408834,939,77373
1675889409824,997,78370
1675889410814,987,79357
1675889411804,945,80302
1675889413290,947,81249
1675889414279,938,82187
1675889415269,952,83139
1675889416259,997,84136
1675889417250,980,85116
1675889418239,926,86042
1675889419229,930,86972
1675889420219,913,87885
1675889421207,901,88786
1675889422199,937,89723
1675889422240,972,90695
1675889423189,939,91634
1675889424181,963,92597
1675889425169,937,93534
1675889426159,936,94470
1675889427149,958,95428
1675889428139,1000,96428
1675889429129,967,97395
1675889430119,906,98301
1675889431109,915,99216
1675889432099,913,100129
1675889433089,951,101080
1675889434086,1009,102089
1675889435068,1022,103111
1675889436060,975,104086
1675889437049,928,105014
1675889438039,910,105924
1675889439029,906,106830
1675889440019,930,107760
1675889441009,1002,108762
1675889441999,1004,109766
1675889442030,957,110723
1675889442988,932,111655
1675889443979,911,112566
1675889444969,924,113490
1675889445959,945,114435
1675889446949,992,115427
1675889447939,1011,116438
1675889448929,996,117434
1675889449919,963,118397
1675889450909,916,119313
1675889451899,911,120224
1675889452888,940,121164
1675889453879,1002,122166
1675889454867,990,123156
1675889455859,951,124107
1675889456849,924,125031
1675889457839,903,125934
1675889458827,916,126850
1675889459821,970,127820
1675889459857,950,128770
1675889460809,913,129683
1675889462294,901,130584
1675889463284,898,131482
1675889464274,918,132400
1675889465265,961,133361
1675889467251,965,134326
1675889467315,958,135284
1675889468234,917,136201
1675889469224,903,137104
1675889470213,908,138012
1675889471203,941,138953
1675889472194,1007,139960
1675889473184,991,140951
1675889474174,934,141885
1675889475171,941,142826
1675889475206,919,143745
1675889476154,925,144670
1675889477144,946,145616
1675889478134,959,146575
1675889479124,944,147519
1675889480114,893,148412
1675889481104,888,149300
1675889482093,895,150195
1675889483083,899,151094
1675889484073,931,152025
1675889485063,978,153003
1675889486054,947,153950
1675889487043,916,154866
1675889488033,912,155778
1675889488064,907,156685
1675889489023,913,157598
1675889491004,938,158536
1675889491058,958,159494
1675889491993,985,160479
1675889492983,937,161416
1675889493973,902,162318
1675889494963,903,163221
1675889495953,868,164089
1675889496943,860,164949
1675889497933,883,165832
1675889498923,941,166773
1675889498962,998,167771
1675889499913,955,168726
1675889500904,873,169599
1675889501893,834,170433
1675889502883,822,171255
1675889503873,811,172066
1675889504863,853,172919
1675889505853,873,173792
1675889506843,902,174694
1675889507832,1016,175710
1675889508825,1049,176759
1675889509815,1006,177765
1675889509844,945,178710
1675889510802,926,179636
1675889512286,909,180545
1675889513278,861,181406
1675889514268,815,182221
1675889516249,829,183050
1675889516283,811,183861
1675889516407,781,184642
1675889516422,705,185347
1675889518228,722,186069
1675889519218,696,186765
1675889520208,731,187496
1675889520239,725,188221
1675889521199,737,188958
1675889522188,716,189674
1675889522240,710,190384
1675889523177,699,191083
1675889524168,687,191770
1675889524200,680,192450
1675889525157,675,193125
1675889526148,666,193791
1675889526183,662,194453
1675889527136,655,195108
1675889528127,650,195758
1675889528151,642,196400
1675889529116,641,197041
1675889530106,649,197690
1675889530122,659,198349
1675889531097,671,199020
1675889532087,713,199733
1675889533078,725,200458
1675889533110,725,201183
1675889534066,726,201909
1675889535058,704,202613
1675889535090,695,203308
1675889536046,683,203991
1675889537037,685,204676
1675889537070,686,205362
1675889538026,710,206072
1675889539018,741,206813
1675889540998,822,207635
1675889541058,925,208560
1675889541987,916,209476
1675889542977,852,210328
1675889543009,786,211114
1675889543967,742,211856
1675889544955,710,212566
1675889544965,692,213258
1675889545947,679,213937
1675889546938,673,214610
1675889546976,670,215280
1675889547926,680,215960
1675889548924,707,216667
1675889549907,732,217399
1675889549940,777,218176
1675889550897,790,218966
1675889551887,763,219729
1675889552878,741,220470
