timestamp, since_start, heart_rate 

1675889367288,0,67
1675889367322,34,67
1675889368282,994,67
1675889369270,1982,67
1675889370254,2966,67
1675889371252,3964,67
1675889372228,4940,67
1675889373220,5932,67
1675889374262,6974,67
1675889375201,7913,68
1675889376208,8920,68
1675889377191,9903,69
1675889378159,10871,70
1675889379177,11889,71
1675889380155,12867,70
1675889381131,13843,70
1675889382141,14853,70
1675889383113,15825,70
1675889384115,16827,70
1675889385096,17808,70
1675889386129,18841,70
1675889387082,19794,70
1675889388076,20788,70
1675889389050,21762,70
1675889390061,22773,69
1675889391045,23757,70
1675889392041,24753,71
1675889393014,25726,71
1675889394024,26736,71
1675889394989,27701,70
1675889396000,28712,69
1675889396984,29696,69
1675889397979,30691,69
1675889398964,31676,68
1675889399953,32665,68
1675889400932,33644,68
1675889401933,34645,67
1675889402904,35616,67
1675889403919,36631,67
1675889404934,37646,66
1675889405893,38605,66
1675889406885,39597,66
1675889407874,40586,66
1675889408864,41576,66
1675889409859,42571,66
1675889410843,43555,65
1675889411831,44543,65
1675889413321,46033,65
1675889414304,47016,65
1675889415299,48011,64
1675889416292,49004,64
1675889417281,49993,64
1675889418273,50985,64
1675889419266,51978,64
1675889420252,52964,64
1675889421237,53949,64
1675889422272,54984,64
1675889423223,55935,64
1675889424216,56928,64
1675889425200,57912,64
1675889426191,58903,64
1675889427182,59894,64
1675889428185,60897,64
1675889429172,61884,64
1675889430161,62873,63
1675889431143,63855,63
1675889432129,64841,64
1675889433137,65849,64
1675889434123,66835,64
1675889435083,67795,64
1675889436093,68805,63
1675889437081,69793,63
1675889438069,70781,63
1675889439063,71775,63
1675889440052,72764,63
1675889441040,73752,64
1675889442050,74762,63
1675889443006,75718,63
1675889444013,76725,63
1675889445003,77715,63
1675889445992,78704,63
1675889446980,79692,63
1675889447972,80684,63
1675889448959,81671,63
1675889449961,82673,63
1675889450943,83655,63
1675889451936,84648,63
1675889452915,85627,63
1675889453909,86621,63
1675889454887,87599,63
1675889455893,88605,63
1675889456886,89598,63
1675889457871,90583,63
1675889458844,91556,63
1675889459883,92595,63
1675889460840,93552,63
1675889462331,95043,63
1675889463317,96029,64
1675889464303,97015,64
1675889465286,97998,64
1675889467291,100003,64
1675889467342,100054,64
1675889468263,100975,64
1675889469251,101963,64
1675889470247,102959,64
1675889471236,103948,64
1675889472225,104937,64
1675889473215,105927,64
1675889474208,106920,64
1675889475233,107945,64
1675889476191,108903,64
1675889477173,109885,64
1675889478167,110879,64
1675889479155,111867,64
1675889480143,112855,64
1675889481135,113847,64
1675889482123,114835,64
1675889483119,115831,65
1675889484103,116815,65
1675889485092,117804,65
1675889486085,118797,65
1675889487073,119785,64
1675889488099,120811,65
1675889489053,121765,65
1675889491036,123748,65
1675889491074,123786,65
1675889492029,124741,65
1675889493013,125725,64
1675889494006,126718,64
1675889494996,127708,64
1675889495988,128700,64
1675889496980,129692,65
1675889497974,130686,65
1675889498992,131704,66
1675889499943,132655,65
1675889500937,133649,65
1675889501922,134634,65
1675889502912,135624,66
1675889503905,136617,66
1675889504899,137611,67
1675889505890,138602,67
1675889506876,139588,68
1675889507850,140562,68
1675889508841,141553,67
1675889509885,142597,65
1675889510830,143542,65
1675889512299,145011,65
1675889513315,146027,65
1675889514302,147014,65
1675889516394,149106,67
1675889516438,149150,68
1675889517236,149948,71
1675889518271,150983,72
1675889519249,151961,73
1675889520275,152987,77
1675889521235,153947,78
1675889522260,154972,79
1675889523219,155931,80
1675889524217,156929,81
1675889525179,157891,82
1675889526202,158914,83
1675889527155,159867,84
1675889528169,160881,86
1675889529133,161845,87
1675889530149,162861,88
1675889531130,163842,89
1675889532130,164842,89
1675889533142,165854,88
1675889534084,166796,87
1675889535114,167826,86
1675889536061,168773,86
1675889537099,169811,86
1675889538041,170753,87
1675889539061,171773,86
1675889541031,173743,86
1675889541088,173800,85
1675889542005,174717,80
1675889543042,175754,77
1675889543994,176706,77
1675889544981,177693,78
1675889545978,178690,78
1675889547001,179713,80
1675889547942,180654,81
1675889548955,181667,82
1675889549980,182692,83
1675889550927,183639,82
1675889551920,184632,82
1675889552941,185653,81
1675889553904,186616,81
1675889554919,187631,82
1675889555881,188593,83
1675889556903,189615,84
1675889557859,190571,85
1675889558881,191593,87
1675889559840,192552,87
1675889561358,194070,86
1675889562310,195022,86
1675889563316,196028,86
1675889564302,197014,86
1675889565316,198028,87
1675889566273,198985,88
1675889567289,200001,89
1675889568251,200963,89
1675889569272,201984,89
1675889570231,202943,89
1675889571251,203963,89
1675889572212,204924,89
1675889573211,205923,89
1675889574202,206914,90
1675889575210,207922,90
1675889576177,208889,91
1675889577182,209894,90
1675889578151,210863,90
1675889579171,211883,90
1675889580131,212843,90
1675889581145,213857,90
1675889582115,214827,90
1675889583116,215828,90
1675889584132,216844,89
1675889585091,217803,89
1675889586077,218789,88
1675889587088,219800,85
1675889588052,220764,84
1675889589067,221779,84
1675889590033,222745,85
1675889591049,223761,86
1675889592017,224729,87
1675889593002,225714,87
1675889594017,226729,87
1675889594986,227698,86
1675889596007,228719,85
1675889596963,229675,85
1675889597984,230696,85
1675889598946,231658,85
1675889599934,232646,85
1675889600947,233659,86
1675889601913,234625,86
1675889602902,235614,85
1675889603932,236644,84
1675889604883,237595,84
1675889605898,238610,84
1675889606872,239584,84
1675889607878,240590,85
1675889608845,241557,85
1675889609832,242544,85
1675889611335,244047,85
1675889612310,245022,85
1675889613314,246026,84
1675889614281,246993,85
1675889615311,248023,85
1675889616267,248979,85
1675889617255,249967,86
1675889618279,250991,86
1675889619240,251952,86
1675889620253,252965,85
1675889621217,253929,85
1675889622233,254945,86
1675889623204,255916,86
1675889624220,256932,87
1675889625179,257891,88
1675889626168,258880,88
1675889627183,259895,87
1675889628145,260857,86
1675889629133,261845,86
1675889630143,262855,84
1675889631120,263832,84
1675889632139,264851,85
1675889633099,265811,85
1675889634117,266829,86
1675889635079,267791,86
1675889636092,268804,86
1675889637054,269766,86
1675889638073,270785,86
1675889640032,272744,86
1675889640111,272823,87
1675889641018,273730,87
1675889642038,274750,88
1675889642995,275707,88
1675889644014,276726,88
1675889644974,277686,89
1675889645970,278682,89
1675889646985,279697,89
1675889647950,280662,89
1675889648971,281683,88
1675889649925,282637,87
1675889650958,283670,87
1675889651905,284617,87
1675889652942,285654,87
1675889653886,286598,88
1675889654911,287623,89
1675889655869,288581,89
1675889656855,289567,89
1675889657846,290558,88
1675889658871,291583,85
1675889660317,293029,84
1675889661336,294048,83
1675889662305,295017,83
1675889663324,296036,84
1675889664283,296995,84
1675889665272,297984,85
1675889666293,299005,86
1675889667253,299965,86
1675889668262,300974,86
1675889669234,301946,86
1675889670254,302966,85
1675889671213,303925,85
1675889672227,304939,86
1675889673684,306396,86
1675889674209,306921,87
1675889675176,307888,87
1675889676161,308873,87
1675889677182,309894,88
1675889678142,310854,87
1675889679162,311874,87
1675889680122,312834,86
1675889681138,313850,86
1675889682100,314812,86
1675889683130,315842,87
1675889684082,316794,87
1675889685072,317784,88
1675889686093,318805,89
1675889687049,319761,89
1675889688069,320781,87
1675889689044,321756,86
1675889690052,322764,86
1675889691010,323722,87
1675889692032,324744,88
1675889692993,325705,88
1675889693980,326692,89
1675889694971,327683,89
1675889695965,328677,89
1675889696964,329676,89
1675889697959,330671,87
1675889698913,331625,82
1675889699928,332640,77
