, timestamp, HR, AVNN, SDNN, rMSSD, pNN50, LF, HF, LFHF, alpha_1, artifacts_removed ,Measurement
0,2023-02-18 20:54:31.720,61.70458927882761,972.375,40.61615288281252,44.210481411840185,16.129032258064516,0.062018329123378,0.0384840520197642,1.6115332421733364,0.9996142681293438,1.0,ot_a70
1,2023-02-18 20:55:01.893,59.963248331667685,1000.6129032258063,32.96104975950705,32.795605256465855,10.0,0.0180163108700042,0.0331026639371632,0.5442556195538684,0.7336093349239734,0.0,ot_a70
2,2023-02-18 20:55:31.613,60.68165728348448,988.7666666666668,37.66845128515668,30.53159955568282,6.896551724137931,0.0224035538381581,0.0309956887365443,0.7227958064936942,0.8838529415365706,0.0,ot_a70
3,2023-02-18 20:56:01.791,57.79962795641775,1038.0689655172414,28.49310991666141,27.157974069424903,0.0,0.0213043857584444,0.0334527976751687,0.6368491498173935,0.6563292276485863,0.0,ot_a70
4,2023-02-18 20:56:31.987,60.086123443602496,998.5666666666668,40.65028358518001,39.656561337852494,17.24137931034483,0.0229801493625625,0.0410152514194739,0.5602830305131721,0.6337445014806432,0.0,ot_a70
5,2023-02-18 20:57:01.688,75.2036766241905,797.8333333333334,88.36210223342985,47.93469822704266,22.857142857142858,0.1091522572018249,0.029490079417021,3.701321236145078,1.418693755067406,1.0,ot_a70
6,2023-02-18 20:57:31.912,80.26886807844161,747.4878048780488,24.702248294258474,14.11854572303158,0.0,0.0291931016598043,0.022215022250001,1.3141153464207336,1.48631253568179,0.0,ot_a70
7,2023-02-18 20:58:00.593,79.12820156868189,758.2631578947369,25.383048851055484,12.84739489373451,0.0,0.02064902729245,0.0143868404111529,1.4352718666735558,1.285946148987452,0.0,ot_a70
8,2023-02-18 20:58:32.767,81.7024510735322,734.3720930232558,27.51407526121346,14.561057318886649,0.0,0.0393932383563078,0.0080309410967549,4.905183325553913,1.5815649899017523,0.0,ot_a70
9,2023-02-18 20:59:01.990,85.1035088311776,705.0238095238095,44.67474416759328,13.8157518796481,2.4390243902439024,0.0540850405193147,0.0175012552981447,3.0903520689197688,1.8522163309932875,0.0,ot_a70
10,2023-02-18 20:59:31.632,73.6849287030088,814.2777777777778,84.92663863957695,50.078174182090194,25.71428571428571,0.0888099217334359,0.047289894801138,1.8779894120487408,1.3705010584300634,0.0,ot_a70
