index, timestamp, HR, AVNN, SDNN, rMSSD, pNN50, LF, HF, LFHF, alpha_1, artifacts_removed 

0,1677793323024,53.18138651471985,1128.2142857142858,59.20204939916543,42.759164559730976,14.814814814814813,0.07980155647923351,0.03562539426368376,2.2400189002422515,1.2140888220121135,0.0
1,1677793352240,50.561229649105066,1186.68,30.201615850811695,37.99542306532516,8.333333333333332,0.01852708837536996,0.036805403579443716,0.5033795740177014,0.7918822207316771,0.0
2,1677793382900,49.317770836758186,1216.6,27.61883415352647,22.907185126828278,4.166666666666666,0.027122430021577156,0.02397589847766292,1.131237273416289,1.4072972021638441,0.0
3,1677793413109,50.71521456436931,1183.076923076923,28.128719346443877,32.44482495971687,12.0,0.03416392825178388,0.028779589983618955,1.1870887761510722,0.9781330759985029,0.0
4,1677793444813,50.51813471502591,1187.6923076923076,45.49113965358802,50.4962869922136,28.000000000000004,0.020596563279435313,0.04980227768427706,0.4135666928731213,0.703259549179518,0.0
5,1677793472993,67.41302515950403,890.0357142857143,132.61126922132144,87.52713864853574,33.33333333333333,0.12495395578653201,0.05648311079359487,2.2122357290686203,1.0210941598116703,4.0
6,1677793502232,62.55254750294266,959.1935483870968,110.03178993857352,67.50172411591195,43.333333333333336,0.12320278425187615,0.04282769605507149,2.876708195870531,1.8078144106418474,0.0
7,1677793532951,68.436727710538,876.7222222222222,87.44954453572741,57.18185643962911,25.71428571428571,0.13288855881874798,0.05066164637003731,2.6230604084225324,1.5426292092437697,0.0
8,1677793562151,66.92091818378067,896.5806451612904,87.98268678426066,56.90221497415999,26.666666666666668,0.10368564534303902,0.04950632751424096,2.0943917787723776,1.5918661753709307,0.0
9,1677793593817,66.58000697504835,901.1714285714286,74.9077473446165,43.465067827073746,17.647058823529413,0.08989310756278754,0.0321219138341495,2.798497873660947,1.6800550589748164,0.0
10,1677793623035,68.77353856230555,872.4285714285714,75.60207318181001,45.44360474391542,11.76470588235294,0.1028846675905864,0.05273894311518841,1.9508291504035924,1.4253444446078711,0.0
