timestamp, since_start, heart_rate 

1677476054997,0,58
1677476055988,991,58
1677476056988,1991,58
1677476058007,3010,58
1677476058993,3996,58
1677476060293,5296,57
1677476061314,6317,57
1677476062290,7293,57
1677476063287,8290,57
1677476064266,9269,57
1677476065293,10296,58
1677476066232,11235,59
1677476067204,12207,59
1677476068235,13238,60
1677476069197,14200,61
1677476070204,15207,61
1677476071162,16165,61
1677476072195,17198,61
1677476073158,18161,61
1677476074157,19160,60
1677476075140,20143,59
1677476076157,21160,59
1677476077102,22105,59
1677476078119,23122,58
1677476079102,24105,57
1677476080100,25103,56
1677476081062,26065,56
1677476083061,28064,55
1677476083093,28096,54
1677476084064,29067,53
1677476085039,30042,53
1677476086048,31051,53
1677476087042,32045,53
1677476087995,32998,53
1677476088990,33993,54
1677476090004,35007,53
1677476090992,35995,53
1677476092483,37486,52
1677476093439,38442,52
1677476094465,39468,52
1677476095438,40441,51
1677476096451,41454,51
1677476097399,42402,51
1677476098419,43422,50
1677476099411,44414,50
1677476100369,45372,50
1677476101388,46391,49
1677476102375,47378,49
1677476103382,48385,48
1677476104328,49331,48
1677476105350,50353,48
1677476106340,51343,47
1677476107330,52333,47
1677476108288,53291,47
1677476109302,54305,47
1677476110307,55310,47
1677476111294,56297,47
1677476112287,57290,46
1677476113238,58241,46
1677476114260,59263,46
1677476115252,60255,47
1677476116243,61246,47
1677476117198,62201,47
1677476118222,63225,47
1677476119213,64216,46
1677476120202,65205,46
1677476121158,66161,46
1677476122178,67181,46
1677476123170,68173,46
1677476124128,69131,46
1677476125149,70152,46
1677476126141,71144,46
1677476127132,72135,46
1677476128127,73130,45
1677476129078,74081,45
1677476130097,75100,45
1677476131072,76075,45
1677476132080,77083,45
1677476133038,78041,45
1677476134059,79062,45
1677476135054,80057,45
1677476136042,81045,46
1677476136998,82001,46
1677476138021,83024,46
1677476139012,84015,46
1677476140073,85076,46
1677476140991,85994,46
1677476142484,87487,46
1677476143432,88435,46
1677476144447,89450,47
1677476145435,90438,47
1677476146929,91932,47
1677476147427,92430,47
1677476148424,93427,48
1677476149372,94375,48
1677476150394,95397,48
1677476151364,96367,48
1677476152372,97375,48
1677476153364,98367,48
1677476154322,99325,48
1677476155341,100344,48
1677476156330,101333,48
1677476157320,102323,48
1677476158309,103312,48
1677476159272,104275,48
1677476160292,105295,48
1677476161780,106783,48
