timestamp, rr, since_start 

1676098170245,1080,25978
1676098171234,1046,27024
1676098172269,1014,28038
1676098173257,968,29006
1676098174429,921,29927
1676098175911,934,30861
1676098175926,971,31832
1676098176901,960,32792
1676098177396,980,33772
1676098178386,958,34730
1676098178401,941,35671
1676098181357,919,36590
1676098182348,893,37483
1676098183338,852,38335
1676098183368,879,39214
1676098184329,845,40059
1676098185319,824,40883
1676098186308,823,41706
1676098187299,830,42536
1676098188288,833,43369
1676098188317,823,44192
1676098189278,821,45013
1676098190269,848,45861
1676098192247,915,46776
1676098193237,1081,47857
1676098194228,1109,48966
1676098195714,1132,50098
1676098196707,1122,51220
1676098197694,1166,52386
1676098199674,1225,53611
1676098200661,1221,54832
1676098201654,1184,56016
1676098202641,1195,57211
1676098203634,1242,58453
1676098205614,1192,59645
1676098206605,1183,60828
1676098207593,1139,61967
1676098208583,1127,63094
1676098209573,1119,64213
1676098210564,1139,65352
1676098211553,1193,66545
1676098213533,1155,67700
1676098214523,1112,68812
1676098215513,1125,69937
1676098216503,1142,71079
1676098217493,1169,72248
1676098218483,1193,73441
1676098219473,1158,74599
1676098221453,1122,75721
1676098222443,1119,76840
1676098223433,1169,78009
1676098224423,1142,79151
1676098225420,1130,80281
1676098227394,1226,81507
1676098228383,1196,82703
1676098229373,1177,83880
1676098230363,1132,85012
1676098231353,1158,86170
1676098232343,1139,87309
1676098234323,1185,88494
1676098235313,1233,89727
1676098236303,1184,90911
1676098237293,1112,92023
1676098238282,1108,93131
1676098239273,1116,94247
1676098240263,1125,95372
1676098242243,1150,96522
1676098243233,1247,97769
1676098244717,1221,98990
1676098245707,1159,100149
1676098246697,1147,101296
1676098247687,1135,102431
1676098249667,1158,103589
1676098250657,1144,104733
1676098251647,1161,105894
1676098253627,1263,107157
1676098253683,1207,108364
1676098254617,1126,109490
1676098255607,1112,110602
1676098257587,1111,111713
1676098258577,1105,112818
1676098259567,1152,113970
1676098260557,1162,115132
1676098261552,1208,116340
1676098263527,1208,117548
1676098264518,1177,118725
1676098265507,1141,119866
1676098266993,1076,120942
1676098267487,1066,122008
1676098268477,1093,123101
1676098269468,1100,124201
1676098270457,1151,125352
1676098272932,1211,126563
1676098273427,1249,127812
1676098274417,1183,128995
1676098275407,1111,130106
1676098276397,1068,131174
1676098277387,1051,132225
1676098278377,1108,133333
1676098280357,1138,134471
1676098281346,1223,135694
1676098282337,1283,136977
1676098283325,1205,138182
1676098284317,1140,139322
1676098285307,1090,140412
1676098286297,1061,141473
1676098288276,1117,142590
1676098289267,1120,143710
1676098290257,1234,144944
1676098291247,1270,146214
1676098292237,1212,147426
1676098293227,1155,148581
1676098295702,1118,149699
1676098296692,1102,150801
1676098297682,1107,151908
1676098298672,1135,153043
1676098299662,1174,154217
1676098301642,1265,155482
1676098302632,1264,156746
1676098303622,1208,157954
1676098304612,1167,159121
1676098305602,1124,160245
1676098306592,1122,161367
1676098308572,1166,162533
1676098309562,1153,163686
1676098310552,1192,164878
1676098311542,1268,166146
1676098312532,1254,167400
